Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2013,7,10,,2013,7,10,,,Arrived at Clemson,"I arrived in Clemson, SC on Wednesday, July 10, 2013 to start graduate school.",https://www.dropbox.com/s/9dfm5fqhssq5nd2/2013.JPG?dl=0,A.D. Carson,From my first visit to Clemson,https://www.dropbox.com/s/9dfm5fqhssq5nd2/2013.JPG?dl=0,,,https://www.dropbox.com/s/9dfm5fqhssq5nd2/2013.JPG?dl=0
2013,7,12,,2013,7,12,,,Fruitvale Station released,"Film released Friday, July 12, 2013",,,,,,,
2013,7,13,,2013,7,13,,,George Zimmerman verdict issued,"George Zimmerman is found ""not guilty"" in trial for killing Trayvon Martin Saturday, July 13, 2013",,,,,,,#333333
2013,8,21,,2013,8,21,,,Fall 2013 classes begin,"My first semester as a graduate student started Wednesday, August 21, 2013",https://www.dropbox.com/s/2fmgxxplkv0skrs/Term%20One%20Reading%20List.pdf?dl=0,A.D. Carson,Term One Reading List + Mixtape,https://www.dropbox.com/s/2fmgxxplkv0skrs/Term%20One%20Reading%20List.pdf?dl=0,,,
2013,10,10,,2013,10,10,,,Campuswide email for The Conjuring sent,"Thursday, October 10, 2013, a campuswide email was sent of an image with no accompanying text for a showing of the film The Conjuring. The image featured a house set against a foggy background and foregrounded with a tree from which a noose is hanging. There is a shadow of a hanging body on the ground in the picture.",https://www.dropbox.com/s/x8nqmzfxyxys7vy/October%202013.PNG?dl=0,A.D. Carson,Screenshot of campuswide email promoting the film The Conjuring; sent with no accompanying text.,https://www.dropbox.com/s/x8nqmzfxyxys7vy/October%202013.PNG?dl=0,,,https://www.dropbox.com/s/x8nqmzfxyxys7vy/October%202013.PNG?dl=0
2013,10,18,,2013,10,18,,,12 Years a Slave released,"Film released Friday, October 18, 2013",,,,,,,
2013,12,19,,2013,12,19,,,Fall 2013 graduation,"Fall 2013 semester ends Thursday, December 19",,,,,,,#333333
2014,1,8,,2014,1,8,,,Spring 2014 classes begin,"Spring 2014 classes begin Wednesday, January 8",https://www.dropbox.com/s/jouzv38w88lsmvt/Term%20Two%20Reading%20List.pdf?dl=0,A.D. Carson,Term Two Reading List + Mixtape,https://www.dropbox.com/s/jouzv38w88lsmvt/Term%20Two%20Reading%20List.pdf?dl=0,,,
2014,2,15,,2014,2,15,,,Michael Dunn (first) verdict issued,"Saturday, February 15, 2014, Michael Dunn verdict issued for killing Jordan Davis, Jacksonville, FL",,,,,,,#333333
2014,3,1,,2014,3,1,,,"""Slaves of the State"": Convict Labor and Clemson University Land and Legacy published","Essay: ""Slaves of the State"": Convict Labor and Clemson University Land and Legacy by Rhondda Thomas published in The South Carolina Review.",https://www.dropbox.com/s/g8dxgvoarjxcnuv/scr-46n2.pdf?dl=0,A.D. Carson,"The South Carolina Review, Volume 46, Number 2 (Spring 2014) Table of Contents",https://www.dropbox.com/s/g8dxgvoarjxcnuv/scr-46n2.pdf?dl=0,,,
2014,5,9,,2014,5,9,,,Spring 2014 commencement,"Spring 2014 semester ends Friday, May 9",https://www.dropbox.com/s/se52xuo6evzcar2/Summer%20Session%20Reading%20List.pdf?dl=0,A.D. Carson,Summer Session (at European Graduate School) Course List + Mixtape,https://www.dropbox.com/s/se52xuo6evzcar2/Summer%20Session%20Reading%20List.pdf?dl=0,,,#333333
2014,7,17,,2014,7,17,,,Eric Garner killed,"Thursday, July, 17, 2014, Eric Garner killed in Staten Island, NY by police officer Daniel Pantaleo",,,,,,,
2014,8,5,,2014,8,5,,,"John Crawford, III killed","Tuesday, August 5, 2014, John Crawford, III killed in Beavercreek, OH by police officer Sean Williams",,,,,,,#333333
2014,8,9,,2014,8,9,,,Michael Brown killed,"Saturday, August 9, 2014, Michael Brown killed in Ferguson, MO by police officer Darren Wilson",,,,,,,
2014,8,17,,2014,8,17,,,"""See the Stripes"" website and video go online","Sunday, August 17, 2014, I uploaded the ""See the Stripes"" video and website",https://youtu.be/tl1cSgbnZTo,A.D. Carson,"""See the Stripes"" video, shot by A.D. Carson and Craig Goodman",https://youtu.be/tl1cSgbnZTo,,,https://youtu.be/tl1cSgbnZTo
2014,8,20,,2014,8,20,,,Fall 2014 classes begin,"Fall 2014 classes begin Wednesday, August 20",https://www.dropbox.com/s/l3z8prnr2stdlef/Term%20Three%20Reading%20List.pdf?dl=0,A.D. Carson,Term Three Reading List + Mixtape,https://www.dropbox.com/s/l3z8prnr2stdlef/Term%20Three%20Reading%20List.pdf?dl=0,,,
2014,8,22,,2014,8,22,,,"Clemson Professor calls ""See the Stripes"" ""fascism""","Friday, August 22, 2014, in an interview with Campus Reform, Clemson Professor J. David Woodard says of the ""See the Stripes"" campaign: “It’s fascism. It’s looking at things only through racial lenses and not seeing anything else when in fact there is no racism associated with this.""",https://www.dropbox.com/s/gj6rvc75hprifaq/August%2022%202014%20Screenshot.jpeg?dl=0,A.D. Carson,"Link to story, ""Campaign compares Clemson Athletics to slavery, accuses university of 'whitewashing' history"":  https://perma.cc/R3UG-T3WQ ",https://www.dropbox.com/s/gj6rvc75hprifaq/August%2022%202014%20Screenshot.jpeg?dl=0,,,https://www.dropbox.com/s/gj6rvc75hprifaq/August%2022%202014%20Screenshot.jpeg?dl=0
2014,8,23,,2014,8,23,,,"Academe Blog responds to Prof. Woodard with ""Godwin's Law at Clemson""","Saturday, August 22, 2014, Aaron Barlow writes ""Godwin's Law at Clemson"" for Academe Blog in response to Prof. Woodard's comments about ""See the Stripes""",https://www.dropbox.com/s/7f0mkvfo6w89qff/August%202014%20Academe%20Blog%20Screnshot.jpeg?dl=0,A.D. Carson,"Link to story, ""Godwin's Law at Clemson"": https://perma.cc/G4WT-D56T",https://www.dropbox.com/s/7f0mkvfo6w89qff/August%202014%20Academe%20Blog%20Screnshot.jpeg?dl=0,,,https://www.dropbox.com/s/7f0mkvfo6w89qff/August%202014%20Academe%20Blog%20Screnshot.jpeg?dl=0
2014,9,16,,2014,9,16,,,"""See the Stripes"" Poetry, Dance, and Music Fest","Tuesday, September 16, 2014, the College of Architecture, Arts and Humanities' Race and the University initiative cosponsored the Poetry, Dance, and Music Fest",https://www.dropbox.com/s/q9jebx1toic4gkx/1979365_289354747934685_3800475367563830487_o.jpg?dl=0,A.D. Carson,"Students, staff, faculty, and community members attending the See the Stripes Fest",https://www.dropbox.com/s/q9jebx1toic4gkx/1979365_289354747934685_3800475367563830487_o.jpg?dl=0,,,https://www.dropbox.com/s/46jy4jmqsfe45vb/September%202014%20STS%20Fest.JPG?dl=0
2014,9,16,,2014,9,16,,,"""Seeing the Stripes: An Interview with Dr. Rhondda Thomas and A.D. Carson""","Tuesday, September 16, 2014, Tigervision interview with Dr. Rhondda Thomas and A.D. Carson about ""See the Stripes""",https://www.youtube.com/watch?v=S1f_TTMkMBc,Tigervision,Tigerview interview with Dr. Rhondda Thomas and A.D. Carson,https://www.youtube.com/watch?v=S1f_TTMkMBc,,,https://www.youtube.com/watch?v=S1f_TTMkMBc
2014,9,22,,2014,9,22,,,Death of Tucker Hipps,"Monday, September 22, 2014, student Tucker Hipps dies in a fraternity event on Lake Hartwell in Clemson, SC",,,,,,,
2014,11,22,,2014,11,22,,,Tamir Rice Shot,"Saturday, November 22, 2014, Tamir Rice is shot by Timothy Loehmann in Cleveland, OH. Rice dies Sunday, November 23.  ",,,,,,,
2014,10,17,,2014,10,17,,,Dear White People released,"Film released Friday, October 17, 2014",,,,,,,
2014,11,24,,2014,11,24,,,"Darren Wilson ""no indictment"" announced","Monday, November 24, 2014, ""no indictment"" is announced for the killing of Michael Brown by police officer Darren Wilson",,,,,,,
2014,12,2,,2014,12,1,,,Vice President of Student Affairs Gail DiSabatino leaves Clemson,"Tuesday, December 2, 2014, Vice President of Student Affairs Gail DiSabatino leaves Clemson",,,,,,,
2014,12,3,,2014,12,3,,,Almeda Jacks hired as Interim Vice President of Student Affairs,"Wednesday, December 3, 2014, Almeda Jacks hired as Interim Vice President of Student Affairs",,,,,,,
2014,12,3,,2014,12,3,,,"Daniel Pantaleo ""no indictment"" announced","Wednesday, December 3, 2014, ""no indictment"" is announced for the killing of Eric Garner by police officer Daniel Pantaleo",,,,,,,
2014,12,3,,2014,12,3,,,Clemson students meet in Hendrix Student Center and Daniel Hall,"Wednesday, December 3, 2014, students gather at Hendrix Student Center and Daniel Hall after ""no indictment"" is announced for Daniel Pantaleo",,,,,,,
2014,12,4,,2014,12,4,,,"Clemson ""Die-In"" Demonstration","Thursday, December 4, 2014, Clemson students hold ""Die-In"" demonstration on Bowman Field",https://www.dropbox.com/s/e3e0z84j0gfg44i/December%204%202014.JPG?dl=0,A.D. Carson,Flyer for Clemson Die-In,https://www.dropbox.com/s/e3e0z84j0gfg44i/December%204%202014.JPG?dl=0,,,https://www.dropbox.com/s/e3e0z84j0gfg44i/December%204%202014.JPG?dl=0
2014,12,6,,2014,12,6,,,Clemson Crip'mas Party,"Saturday, December 6, 2014, Clemson students hold a ""gang-themed"" Christmas party, and post pictures of themselves online dressed up for ""Crip'mas""",https://www.dropbox.com/s/2ehzikv7sfbnt5v/IMG_CD2A3B8C053F-1.jpeg?dl=0,A.D. Carson,Screenshot of essay posted to Daily KOS the morning of the Crip'mas Party. Link to essay here: https://perma.cc/7CZ6-VQQS ,https://www.dropbox.com/s/2ehzikv7sfbnt5v/IMG_CD2A3B8C053F-1.jpeg?dl=0,,,https://www.dropbox.com/s/2ehzikv7sfbnt5v/IMG_CD2A3B8C053F-1.jpeg?dl=0
2014,12,7,,2014,12,7,,,Clemson students hold Crip'mas protest,"Sunday, December 7, 2014, Clemson students gather at the Cooper Library Bridge with intent to deliver ""Crip'mas"" cards to President Jim Clements's house. President Clements issues an email stating ""the free expression of opinion must not cross the line and become harrassment or intimidation, just as rallies and protest marches must not cross the line to lawlessness.""",https://www.dropbox.com/s/rgwwggktjf6yuaz/Decebmer%207%202014%204.PNG?dl=0,A.D. Carson,"Flyer for Clemson ""Crip'mas"" card delivery",https://www.dropbox.com/s/rgwwggktjf6yuaz/Decebmer%207%202014%204.PNG?dl=0,,,https://www.dropbox.com/s/rgwwggktjf6yuaz/Decebmer%207%202014%204.PNG?dl=0
2015,4,6,,2015,4,6,,,"AP: ""Frat suspends Clemson students over racially charged party""",Associated Press story about Clemson students invovled in Crip'mas party,https://www.dropbox.com/s/anm3uj9tvm1k55q/April%206%202015%20AP%20Story%20Screenshot.jpeg?dl=0,Jeffrey Collins,AP story link: https://perma.cc/6CSY-G8CE,https://www.dropbox.com/s/anm3uj9tvm1k55q/April%206%202015%20AP%20Story%20Screenshot.jpeg?dl=0,,,https://www.dropbox.com/s/anm3uj9tvm1k55q/April%206%202015%20AP%20Story%20Screenshot.jpeg?dl=0
2014,12,7,,2014,12,7,,,"Greenville News: ""Off Campus party increases racial tension""",Greenville News story about Crip'mas party,https://www.dropbox.com/s/h35c3opskiq55wn/December%207%202014%20Greenville%20News%20Frat%20Party.jpeg?dl=0,Robbie Ward and Ron Barnett,Greenville News story link: https://perma.cc/A5VE-H7RR,,,,https://www.dropbox.com/s/h35c3opskiq55wn/December%207%202014%20Greenville%20News%20Frat%20Party.jpeg?dl=0
2014,12,18,,2014,12,18,,,Fall 2014 graduation,"Fall 2014 semester ends Thursday, December 18",,,,,,,
2015,1,7,,2015,1,7,,,Spring 2015 classes begin,"Spring 2015 classes begin Wednesday, January 7",https://www.dropbox.com/s/ke2sl0xyfnwqy0h/Term%20Four%20Reading%20List.pdf?dl=0,A.D. Carson,Term Four Reading List + Mixtape,https://www.dropbox.com/s/ke2sl0xyfnwqy0h/Term%20Four%20Reading%20List.pdf?dl=0,,,
2015,1,7,,2015,1,7,,,"Clemson ""Coalition of Concerned Students"" deliver drievances and demands to administration","Wednesday, January 7, a coalition of concerned students delivered grievances and demands compliled by undergraduate, graduate, and international students from several ""town hall"" meetings in Fall 2014.",https://www.dropbox.com/s/fz8w3xyd3yo3zun/January%207%202015.JPG?dl=0,A.D. Carson,Flyer for the March on Sikes Hall,https://www.dropbox.com/s/fz8w3xyd3yo3zun/January%207%202015.JPG?dl=0,,,https://www.dropbox.com/s/fz8w3xyd3yo3zun/January%207%202015.JPG?dl=0
2015,1,7,,2015,1,7,,,"Greenville News: ""Clemson students demand University address diversity""",Greenville News story about March on Sikes,https://www.dropbox.com/s/99di32vx8qj6suw/January%207%202015%20Greenville%20News.jpeg?dl=0,Nathaniel Cary,Greenville News story link: https://perma.cc/5WBQ-AM69,https://www.dropbox.com/s/99di32vx8qj6suw/January%207%202015%20Greenville%20News.jpeg?dl=0,,,https://www.dropbox.com/s/99di32vx8qj6suw/January%207%202015%20Greenville%20News.jpeg?dl=0
2015,1,16,,2015,1,16,,,"Greenville News: ""Debate rages over Clemson's Tillman Hall""",Greenville News story about Clemson student demands,https://www.dropbox.com/s/yeu2jvwkk4qexp7/January%2016%202015%20Greenville%20News.jpeg?dl=0,Nathaniel Cary,Greenville News story link: https://perma.cc/P6B2-LK7A,https://www.dropbox.com/s/yeu2jvwkk4qexp7/January%2016%202015%20Greenville%20News.jpeg?dl=0,,,https://www.dropbox.com/s/yeu2jvwkk4qexp7/January%2016%202015%20Greenville%20News.jpeg?dl=0
2015,1,30,,2015,1,30,,,"Greenville News: ""Clemson student group votes to rename Tillman Hall""",Greenville News story about Graduate Student Government resolution to rename Tillman Hall (Old Main),https://www.dropbox.com/s/1ikey7d19psn9pu/January%2030%202015%20Greenville%20News.jpeg?dl=0,Nathaniel Cary,Greenville News story link: https://perma.cc/F62T-KB4A,https://www.dropbox.com/s/1ikey7d19psn9pu/January%2030%202015%20Greenville%20News.jpeg?dl=0,,,https://www.dropbox.com/s/1ikey7d19psn9pu/January%2030%202015%20Greenville%20News.jpeg?dl=0
2015,1,31,,2015,1,31,,,"The State: ""'Pepper in the salt shaker'--Clemson hears calls for more diversity""",The State story about race at Clemson,https://youtu.be/cpmQ65ju84I,Andrew Shain and The State,The State story link: https://perma.cc/X4MP-B9A2,https://www.dropbox.com/s/cwn4aokq8cph7la/February%2010%202015%20The%20State.jpg?dl=0,,,https://www.dropbox.com/s/cwn4aokq8cph7la/February%2010%202015%20The%20State.jpg?dl=0
2015,2,10,,2015,2,10,,,"The State: ""Faculty Senate resolutiion to rename Tillman Hall passes""",The State story about faculty senate resolution to change the name of Tillman Hall (Old Main),https://www.dropbox.com/s/l971vwg21wq1d5h/February%2011%202015%20The%20State%20Faculty%20Senate.png?dl=0,Nathaniel Cary,The State story link: https://perma.cc/M388-8DG2,https://www.dropbox.com/s/l971vwg21wq1d5h/February%2011%202015%20The%20State%20Faculty%20Senate.png?dl=0,,,https://www.dropbox.com/s/l971vwg21wq1d5h/February%2011%202015%20The%20State%20Faculty%20Senate.png?dl=0
2015,2,11,,2015,2,11,,,"Greenville News: ""Clemson won't rename Tillman Hall, board chair says""","Greenville News story about board chair, David Wilkins's response to student and faculty government resolutions to change the name of Tillman Hall (Old Main)",https://www.dropbox.com/s/ppylf0836t85g89/February%2011%202015%20Greenville%20News.jpeg?dl=0,Nathaniel Cary,Greenville News story link: https://perma.cc/NU8J-ZJB8,https://www.dropbox.com/s/ppylf0836t85g89/February%2011%202015%20Greenville%20News.jpeg?dl=0,,,https://www.dropbox.com/s/ppylf0836t85g89/February%2011%202015%20Greenville%20News.jpeg?dl=0
